,Unnamed: 0,German,English
0,0,der,the
1,1,und,and
2,2,in,in
3,3,sein,be
4,4,ein,a 
5,5,haben,to have
6,6,sie,you
7,7,werden,will
8,8,von,from
9,9,ich,I
10,10,nicht,Not
11,11,es,it
12,12,mit,With
13,13,sich,itself
14,14,er,he
15,15,für,for
16,16,auch,also
17,17,an,on
18,18,dass,that
19,19,zu,to
20,20,als,as
21,21,können,be able
22,22,wie,how
23,23,so,so
24,24,bei,at
25,25,sein,be
26,26,aber,but
27,27,man,one
28,28,noch,still
29,29,nach,after
30,30,oder,or
31,31,all,Alles
32,32,aus,out
33,33,nur,only 
34,34,sagen,to say
35,35,dann,then
36,36,wenn,if
37,37,müssen,have to
38,38,um,around
39,39,ja,Yes
40,40,kein,no
41,41,über,above
42,43,geben,give
43,44,vor,before
44,45,mein,my
45,46,mehr,more
46,47,Jahr,Year
47,48,du,you
48,49,durch,through
49,50,viel,a lot of
50,51,wollen,want
51,52,machen,make
52,53,andere,other
53,54,sollen,must
54,55,schon,beautiful
55,56,kommen,come
56,57,mir,me
57,58,immer,always
58,59,mich,me
59,60,gehen,walk
60,61,hier,here
61,62,ganz,all
62,63,zwei,two
63,64,also,so
64,65,doch,yet
65,66,wieder,again
66,67,uns,us
67,68,gut,Well
68,69,bis,until
69,70,wissen,to know
70,71,sehen,see
71,72,einer,one
72,73,sehr,very
73,74,Mal,Times
74,75,lassen,to let
75,76,neu,New
76,77,stehen,stand
77,78,unser,our
78,79,jede,every
79,80,weil,because
80,81,unter,under
81,82,Mensch,person
82,83,ihm,him
83,84,ihn,him
84,85,denn,then
85,86,Beispiel,example
86,87,erste,first
87,88,Zeit,time
88,89,lang,long
89,90,leben,Life
90,91,Frau,Woman
91,92,etwas,some
92,93,selbst,even
93,94,wenig,little
94,95,finden,Find
95,96,gegen,versus
96,97,zwischen,in between
97,98,drei,three
98,99,liegen,lie
99,100,wo,Where
100,101,nichts,Nothing
101,102,klein,small
102,103,Tag,Day
103,104,deutsch,German
104,105,bleiben,stay
105,106,nun,well
106,107,sondern,but
107,108,heute,today
108,109,beide,both
109,110,hoch,high
110,111,damit,in order to
111,112,ohne,without
112,113,Mann,Man
113,114,welch,what
114,115,tun,do
115,116,einmal,once
116,117,ihnen,them
117,118,heißen,mean
118,119,ob,if
119,120,denken,think
120,121,dabei,included
121,122,seit,since
122,123,einfach,easy
123,124,erst,first
124,125,Kind,child
125,126,Land,country
126,127,stellen,place
127,128,zeigen,demonstrate
128,129,natürlich,naturally
129,130,alt,old
130,131,dort,there
131,132,Deutschland,Germany
